Étiquettes de lignes;Somme de Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: High systolic blood pressure - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Secondhand smoke - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Unsafe sex - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Low physical activity - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: High fasting plasma glucose - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Low bone mineral density - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Vitamin A deficiency - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Child stunting - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number);Somme de Deaths - Cause: All causes - Risk: Iron deficiency - Sex: Both - Age: All Ages (Number)
Afghanistan;155341;906211;37252;253823;13779;120119;215237;177944;706626;701654;15970;93648;1156375;132348;96477;211298;540257;1301522;376560;159344;194942;11955;14490;57860;247357;7154;94941;26262
African Region (WHO);4818693;15828295;1704129;1941945;6745764;1762150;21148264;1766174;21392133;29049573;24273118;490350;23093954;1419854;762446;6373528;9026697;27835932;6619355;15579850;12964659;1040166;594860;1839794;6733430;260628;4316942;646850
Albania;35720;163948;54436;31125;16789;7984;467;21227;11256;7625;1712;9439;38425;2864;5488;94741;40337;73731;61827;263;745;2858;1578;52;3071;13;1503;36
Algeria;491987;1280486;42917;318697;23916;80035;21117;174012;322967;75662;21258;137057;26127;74920;179778;502939;685324;515625;680156;11197;13858;19117;30469;1507;14504;1227;15419;4780
American Samoa;182;1916;136;345;62;184;60;367;188;108;64;0;234;184;250;1344;2234;423;2149;19;10;55;36;0;0;0;0;0
Andorra;418;2086;127;425;972;108;0;194;22;0;141;54;0;68;256;2587;941;413;1143;0;0;118;216;0;0;0;0;0
Angola;85596;352606;25181;39967;230696;38141;705790;51029;542299;918069;225937;14226;499279;31804;13438;173119;197339;582387;90016;487613;391572;7765;14267;62214;209915;10351;154413;12851
Antigua and Barbuda;760;3176;284;704;566;160;40;200;231;108;342;136;39;228;450;860;3070;796;1804;13;68;30;59;0;0;0;0;0
Argentina;360135;1519926;198986;330096;553672;79736;13391;234621;140832;60549;117657;157104;54948;100577;23784;1412344;860288;413926;878570;5802;25611;66405;40411;186;1933;360;5010;1566
Armenia;89045;218341;33963;69063;20368;14923;1489;31824;13055;6558;5553;31000;17091;2384;13746;146162;132846;105335;106708;1536;1237;1622;2052;3;1037;161;1795;52
Australia;58460;752258;32428;149638;203784;72387;727;49633;15299;3550;16409;28497;1506;47989;116750;602519;453779;59906;436961;203;1975;55100;38828;0;49;0;156;54
Austria;117025;573769;67968;94775;149274;25324;40;36243;4607;184;10543;18997;693;29884;66749;360478;245515;116976;234550;104;375;17035;22184;0;3;0;37;5
Azerbaijan;180497;568157;86707;168120;97234;44061;12053;90420;83002;66336;9037;59751;73114;16498;27378;284339;254788;252771;285814;9954;10772;7160;3126;119;11335;859;19829;295
Bahamas;2305;11937;989;1977;3345;814;109;762;873;293;4292;366;125;457;1219;3356;8035;2429;8731;33;161;262;283;0;10;0;42;27
Bahrain;12247;15903;629;5114;1563;633;152;2639;1722;242;292;860;247;356;3646;10910;19934;12371;17664;46;98;502;367;0;11;0;27;30
Bangladesh;1303935;3095681;345613;282446;222197;625147;1364477;597265;2944266;1951096;101246;272180;3758698;464089;185215;2534979;1730907;4953483;593920;985493;834182;27717;44138;35486;377844;6811;222076;63240
Barbados;4394;13544;758;2541;2581;1755;109;801;746;232;1787;69;9;923;2853;3992;15074;4409;10183;48;311;116;302;0;0;0;20;0
Belarus;353662;1361262;80687;400693;315678;128504;452;81098;8423;2674;23106;156398;14713;59034;88153;719968;335945;367417;549494;322;1252;25837;14115;0;157;31;677;77
Belgium;159071;550096;64659;107941;208976;46088;546;46560;5892;6394;12432;16494;543;21775;74590;640358;262470;158688;235929;399;1801;20584;36739;0;5;0;62;23
Belize;1716;5825;519;1021;2133;56;374;550;1831;784;1892;26;1160;516;861;2611;5206;2864;5058;203;319;119;196;0;68;9;145;23
Benin;41418;149090;16622;16809;38962;20213;168079;17081;290495;295604;68987;1287;290096;11526;6374;50752;87199;330384;69821;128674;125732;2481;6367;24708;74103;1808;34573;8476
Bermuda;319;2840;268;676;601;230;7;211;51;8;328;92;71;154;501;1577;1926;388;1941;0;30;58;72;0;0;0;0;0
Bhutan;5538;14594;1521;2153;3243;1915;4705;1736;15470;5479;1073;1214;16140;1547;1355;7972;7734;20980;5186;3791;1749;551;918;331;1695;12;805;335
Bolivia;91105;171231;30293;32709;71083;17620;31965;15173;119799;104714;40269;1830;99953;19760;10445;84591;163365;190687;155963;19413;29762;4116;10304;658;18917;807;12528;3965
Bosnia and Herzegovina;96906;293949;96555;47569;37603;25621;173;34083;6335;312;5078;24954;64298;9335;16099;232252;184920;160306;142056;95;217;4890;3592;7;43;7;116;23
Botswana;19303;55753;4008;6831;29271;9505;20143;10341;24966;17617;239186;4358;27525;5258;3301;43553;43184;46669;36024;14220;14270;7446;1366;626;2823;307;3123;442
Brazil;1200202;5686746;761612;811493;1944761;331095;381826;740934;1290770;834918;594993;29519;892373;471014;976917;4962231;3609734;2085931;3620737;253925;236482;162209;235513;13992;63635;27945;187932;13129
Brunei;728;6697;1559;1267;365;980;8;775;585;73;476;79;90;560;692;6234;8411;817;3155;0;36;305;230;0;0;0;0;4
Bulgaria;357409;1410781;491284;249697;230843;111751;397;116810;8556;3990;15289;91375;90268;27607;58068;746443;579637;446292;685202;35;1022;16567;9300;5;554;39;877;77
Burkina Faso;60705;260238;24964;37072;146436;43709;483380;38311;480556;823624;286211;3209;617931;29064;6831;68569;160877;677520;85960;366645;316598;10900;14681;51981;162844;4909;105420;11149
Burundi;22990;154826;30754;21156;157799;7854;243050;10767;212783;312947;273661;10459;292090;19294;2279;83062;85022;314106;35946;182005;141513;3602;6316;15292;72341;1957;21704;7594
Cambodia;71117;303322;85423;26849;157024;59224;98962;102743;236987;294861;88024;7869;505300;43348;11873;367066;219394;575177;75101;75091;83153;29753;17111;8441;72323;954;42872;6727
Cameroon;180081;380973;33290;39352;183068;25538;619937;36288;403600;638055;650476;717;404009;22934;16831;131300;220597;582015;245128;446150;337366;9620;17728;55576;155133;11700;130510;17860
Canada;160771;1105878;117750;255663;291694;106002;1259;97153;25119;7859;32832;8997;1365;62168;140144;1445909;635876;161451;687022;1413;2643;92926;77598;0;37;16;205;83
Cape Verde;4473;13596;1200;1696;4143;1604;3206;889;4578;3440;3194;250;6082;915;685;3626;8247;10529;5137;2296;2661;145;432;182;534;40;644;69
Central African Republic;22269;112901;7880;12310;59755;13087;204303;10768;157314;231894;241414;225;203477;12943;3914;53185;69904;224272;27197;152961;111809;6662;4875;17034;47258;1963;44730;5627
Chad;47131;179593;17244;34568;60309;29461;667658;32370;357782;960093;120002;4422;511752;22146;5450;74842;102619;557255;44119;506599;361564;4257;7925;80129;192942;9484;158783;16957
Chile;135013;505618;70149;78082;207895;38134;3368;60821;24962;16905;39821;29279;26337;18752;25361;288851;290006;160739;299037;2280;4254;38037;19428;11;340;38;915;236
China;32828190;54195998;20265539;7262303;12747315;6911619;690883;11648648;3581067;2990941;1430925;2085739;24644719;1087619;2680116;60677371;23810755;55747672;13322048;522992;764127;2598858;1786171;26562;546551;24673;561139;41502
Colombia;303829;878001;235987;159353;234218;59294;41807;83212;224869;101346;121440;60324;160959;82945;48048;479650;719142;463608;518639;18838;24045;10506;31697;449;7720;1921;17805;2369
Comoros;1940;16338;3164;1859;1414;1054;11914;2083;18009;15664;1511;348;20358;1846;214;6717;8171;22292;5984;9048;8359;134;751;790;3253;178;2859;257
Congo;31378;111455;7819;11920;36659;10810;84793;6942;68032;70337;160504;381;74070;11181;5360;32220;62373;105171;55507;62159;45354;4628;3695;6107;9882;1982;16348;3400
Cook Islands;66;944;164;142;138;69;0;191;31;18;23;0;39;64;114;567;1048;112;1034;0;0;30;30;0;0;0;0;0
Costa Rica;19612;99866;15116;16546;23246;3573;1737;7286;9967;2006;9102;5916;6500;8062;2759;49463;60706;26013;51382;437;1514;1820;5441;8;146;42;396;92
Cote d'Ivoire;142131;358348;34259;47490;174847;29013;300791;70895;739911;477816;862914;1057;582822;31599;13755;160334;188235;723897;157124;218061;237649;32583;12778;28774;96603;4041;92945;18860
Croatia;121329;455280;148025;80005;108721;29798;183;49610;3436;228;6036;30230;13266;21947;27253;326882;228914;133966;214948;41;295;3772;16071;0;28;0;56;15
Cuba;159690;482373;47379;111400;89532;33420;8682;61643;9136;3306;24746;17896;13314;34696;80398;511864;353592;172475;255584;4089;13211;3781;42397;2;162;65;657;311
Cyprus;13797;48572;3671;10756;8183;2456;27;4503;1083;151;726;621;95;2511;5296;37004;43469;13766;19899;9;60;581;2149;0;0;0;4;0
Czechia;260911;812381;306514;157864;206879;81314;749;75789;6174;1753;15909;67745;5294;63828;79850;683348;629321;265330;491693;60;787;16078;36630;0;37;0;130;25
Democratic Republic of Congo;227254;1347909;56428;127080;311507;143572;1480148;66463;1354364;2139745;928566;8132;1989508;139970;51537;386146;699061;2205417;393044;1096733;968299;29461;53847;151186;409676;16285;331485;70740
Denmark;73740;341718;24022;64971;109775;22703;205;29226;3292;1422;8228;20156;174;18207;36490;448765;132845;73473;124075;118;753;12915;20434;0;0;0;33;3
Djibouti;7416;13251;2372;1965;2119;2376;11899;2662;17377;27119;19007;907;8859;1280;206;8819;7089;16243;4356;8786;8584;198;492;945;3944;271;3159;701
Dominica;891;4428;413;906;872;30;60;233;309;110;384;31;389;199;588;1185;3989;1282;2965;30;104;30;87;0;0;0;5;0
Dominican Republic;61363;282820;25190;51020;76398;7672;34240;20922;115681;45276;65250;3288;51410;26134;40592;156766;140934;112487;138018;19792;20537;4958;8051;603;3484;2111;12187;1122
East Asia & Pacific (WB);40472023;84424116;27166907;10537205;19471230;10180858;4199034;15721480;8460130;8172081;3342052;2737761;35189662;3075795;4392931;84899356;40342278;73828024;22279089;2686373;2089331;3960840;2854990;204647;1476691;58454;1267569;154068
Eastern Mediterranean Region (WHO);8208846;18299605;1010466;4551389;796354;1392980;4735669;2699483;12057844;7062975;395694;1360005;8204257;1136182;2188375;9561049;9827572;16226351;9423320;3193300;2010633;486969;430205;406534;1796556;92247;1127267;225871
Ecuador;86256;239267;41291;46079;93211;7061;23118;17829;92260;60811;41858;23405;31205;26820;18722;120350;239220;117363;243980;13134;17698;4963;16249;392;7872;679;8096;1317
Egypt;2207554;3414957;128189;718263;117830;120145;287227;534199;648082;627902;13147;227567;59100;13749;487264;1528357;1544810;2252686;2485563;269845;95356;29372;78179;5203;119637;8115;151346;5782
El Salvador;38182;155337;23834;23648;64943;13394;20340;8225;33282;26670;27839;1343;50704;13279;5122;39341;132559;88303;101315;14122;10806;2365;8572;476;3171;571;5973;456
England;673485;2991649;192115;630015;458981;292608;957;261654;46946;4336;53864;364868;756;188230;377360;3414539;1685851;672713;1362381;208;11136;82772;91441;0;92;30;481;140
Equatorial Guinea;5995;15226;1058;1482;6133;1035;15035;1330;17782;17704;26014;69;13799;1355;817;4918;9220;19758;7242;10561;9126;695;519;1459;4460;225;3477;585
Eritrea;25601;77807;15724;8991;34646;11521;140176;9303;97833;192697;71032;3045;127767;10101;1087;38977;45620;152880;26401;106163;86013;1619;3318;9677;33720;1141;14069;5723
Estonia;13662;166733;6772;33012;36444;13784;33;9522;924;305;3069;16531;5510;10080;9583;87446;45407;19156;80759;10;169;4819;2255;0;24;0;45;6
Eswatini;7678;27090;1962;2506;17532;3876;16718;2401;14873;14502;130594;483;20511;2611;1934;11179;26664;28126;29403;11914;10063;3859;871;698;3180;250;4145;247
Ethiopia;175003;935943;231851;158047;505530;207252;2185298;68129;2595233;3194715;1489927;86778;2947070;132165;17967;290794;676248;3114153;248057;1695199;1391959;32817;54305;299294;809564;16239;244090;80169
Europe & Central Asia (WB);17080264;72954118;9030712;16019691;18951417;5939833;187771;5742882;1701745;1006580;1540387;5791572;2261377;2770890;5698271;48409384;31520754;19248037;33966924;138665;242044;2206491;1738918;6577;139820;7695;187407;11796
European Region (WHO);17240142;73420126;9121620;16119045;18992689;5957793;188615;5783501;1716560;1009061;1547802;5797959;2287205;2774694;5745613;48742211;31860088;19432502;34211231;139202;242624;2215269;1749132;6626;139976;7768;188108;11836
Fiji;6246;40142;6228;9692;2310;8160;2357;7597;4212;2445;2346;376;12761;4253;5334;24536;58452;19004;51652;1233;477;692;377;44;121;30;193;82
Finland;24714;398052;27993;75822;76297;31724;63;14609;1934;161;3433;35155;274;27579;39474;210662;200261;24942;144720;56;549;14991;18947;0;0;0;12;3
France;567338;2551705;172986;534804;1310901;231838;3375;144659;29363;100736;102754;109227;2814;137145;376343;2416170;985417;566785;1150175;1729;6849;118758;242843;0;61;122;466;195
G20;74123621;185294122;37385534;30676993;46527892;20546760;25751522;26088517;32556011;20995449;11805385;10619945;56990007;8967715;13638424;163381221;95499955;127637647;71637321;18285679;10677283;8757071;7274406;802306;4573929;166612;2884223;759803
Gabon;17693;44389;3292;4356;24846;1206;11941;3259;21231;11196;38826;125;11810;3790;2433;13047;32410;29466;26324;8498;8852;1242;1762;362;1536;275;2792;947
Gambia;8441;33024;2702;3794;10035;4798;20087;5385;39395;29771;20731;69;43252;3259;1251;14464;15771;51558;13237;14524;15554;810;1210;2602;5414;178;2899;2242
Georgia;109237;644313;94923;144936;55619;56183;989;56742;15873;6378;7784;44750;104600;34065;28148;239883;250931;213352;272620;786;1413;7393;4478;1;917;83;1663;103
Germany;1257059;6595570;465669;1048926;2236336;401843;1793;274370;39049;9121;114989;180868;1835;351551;547614;4563929;4168143;1253035;2861713;999;7053;137515;202396;0;38;30;254;140
Ghana;218320;520207;61986;67971;242581;25283;319683;26214;442687;388215;438004;1936;425569;44776;21816;121005;331468;641766;277639;232650;220373;16119;17843;25859;58006;2929;49398;10464
Greece;217333;818892;61080;198572;124648;14750;10;76516;7300;446;10495;12933;3475;4364;56021;714790;332804;219206;331277;34;1032;10713;14172;0;13;0;82;11
Greenland;212;1692;189;367;1189;192;0;369;233;30;162;30;32;84;119;3538;723;254;1297;0;0;191;126;0;0;0;0;0
Grenada;1279;4398;396;966;1091;232;48;311;390;166;424;143;351;437;607;1454;4486;1637;2691;30;145;52;94;0;1;0;18;0
Guam;647;5906;980;1213;417;354;71;887;442;175;244;11;114;533;423;3426;3515;761;4300;8;30;205;156;0;0;0;0;0
Guatemala;73681;183766;32707;33443;137321;22255;121285;22834;144015;205748;38441;9177;204933;17972;2752;87800;231902;278032;124970;80200;62678;8009;10651;2016;42230;1929;19354;3616
Guinea;55662;219078;20439;23556;42276;14850;252913;34936;326718;424156;108159;1404;468132;19738;7650;105295;120750;522466;78997;185398;199221;3406;9653;30704;93835;2386;50328;15170
Guinea-Bissau;7930;34546;3134;3490;15829;3947;49463;4011;53232;57556;26122;109;56864;4127;1216;7684;18514;64660;11926;36505;28106;945;1216;7435;14536;335;7123;1442
Guyana;10933;36893;3114;5645;13255;4442;2816;3299;9571;4370;7132;356;4475;3502;4085;11840;35118;15409;24764;1709;1872;565;873;26;256;78;701;169
Haiti;36760;367803;27713;53945;108140;32639;169482;21063;175073;223172;227362;5410;345229;42071;29377;87059;274577;380459;109015;124633;98216;9727;5899;5497;31120;3875;57091;10912
Honduras;30745;171697;25623;21781;57543;14078;42151;15570;66087;33220;10912;12468;97896;15235;3561;80392;121773;127792;89487;30455;8666;4744;4361;631;6301;1075;10346;1517
Hungary;289033;1178802;434479;226434;362538;93346;866;124449;11218;1080;20696;108456;74576;44437;63679;855173;596024;361437;609714;488;386;7980;42403;0;112;0;187;45
Iceland;757;10884;1064;2754;1272;1093;0;976;184;35;182;889;3;1014;1564;10942;4618;760;5141;0;30;413;461;0;0;0;0;0
India;18615995;30274400;3643418;5106157;7307926;5424099;21921985;5572419;22771946;13619011;2688891;3323743;26483553;3006716;1911544;24186369;18563626;43492775;8634990;15827484;8565706;1743112;2229881;676307;3458584;73303;1588304;609630
Indonesia;2154732;9883765;2101015;785692;461599;1075094;2027501;1164521;1866574;1956183;277662;60627;3166414;818055;437297;5213600;4640495;5307611;2728038;1236623;480447;127033;255160;66677;354832;15953;277161;62794
Iran;1034587;2146839;90120;646418;53540;43394;33134;242177;673125;112312;20082;98020;45310;57834;275736;906869;1125638;1072468;1136455;20277;21948;129961;72683;1378;16643;559;17644;1909
Iraq;561091;1096633;37357;245542;20561;92259;49730;151430;430691;117335;6857;123053;55873;30325;154014;540070;691536;615321;700190;28215;11183;19548;16813;2252;21784;1755;29107;3305
Ireland;29519;196022;11169;31316;43385;17338;23;17837;2804;294;3229;14873;258;11785;31626;214929;67750;29671;82006;43;569;6692;5417;0;0;0;30;0
Israel;76782;225965;16449;56313;12206;4642;228;16203;8563;1091;4384;1063;233;1261;32851;174833;191268;76224;123784;207;437;5915;7823;0;12;0;92;29
Italy;1042464;3761744;354965;936263;1011348;120510;664;274517;32337;9806;78188;157851;9884;92427;490018;2912595;2491583;1041380;1616528;410;3225;192485;188575;0;54;14;302;78
Jamaica;20748;88933;8191;14704;9319;6003;1659;8557;16891;3721;16322;667;12473;5312;17389;44632;106557;33078;70337;1040;2155;822;1493;5;98;33;302;145
Japan;1024720;5314266;1244807;753803;1435734;533168;10173;476718;25839;32639;120419;297622;6670;99705;474510;5866095;2259546;1026034;1264144;2517;56337;272979;194558;0;599;61;739;335
Jordan;59909;134003;4710;34809;3235;9975;1258;20393;44876;7288;1430;3164;311;5656;16494;79458;102672;59915;116864;553;1320;1570;2467;126;951;75;1684;572
Kazakhstan;315434;1473811;199328;350203;321117;149464;10649;123721;66086;44647;28662;139206;139692;45052;83228;691645;546281;452410;701720;9170;8877;59162;12304;409;5270;550;10809;683
Kenya;115663;520989;59759;49721;350267;60813;619085;52531;549619;655920;2027596;23600;669849;42699;6433;254444;260539;784533;224833;462383;388128;190195;22467;49967;110341;6650;139270;23417
Kiribati;406;4164;676;1022;585;795;1382;1272;1214;1281;728;94;3952;665;442;5916;6274;4351;5388;927;289;203;52;49;133;7;85;60
Kuwait;27456;45825;3427;10875;543;2927;69;6170;5433;616;406;2301;85;322;8270;26674;31481;27414;38100;7;399;870;1364;0;38;1;162;19
Kyrgyzstan;79168;241504;42597;81285;78702;35221;6314;41876;40509;21135;7936;34201;87624;8883;15534;151554;68603;164271;119323;5505;3913;13831;2891;86;3815;213;5122;390
Laos;32219;190928;47363;15285;58700;22100;73994;49983;135105;160331;11746;6997;250608;18630;6041;153427;131643;281720;54304;55748;38356;2982;4493;5725;37439;755;26960;3892
Latin America & Caribbean (WB);4055428;15113037;2064392;2395500;5343380;958363;1188305;1751003;3513111;2424033;1974783;614644;2701851;1207921;1616759;10601109;11647245;6726296;10097267;755494;723595;435888;615348;31978;257342;53922;451042;55689
Latvia;63201;322692;24653;72301;50814;31228;69;20116;1725;361;5202;28469;8285;16366;29107;156714;88795;71438;142200;46;311;7203;5406;0;37;0;75;15
